ChEMBL_ID,Name,SMILES,MW,Source,Tanimoto_MaxSim,Best_Match_Ref,P_EGFR_active,QED,Repurposing_Score
CHEMBL561,LOMEFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,351.35,ChEMBL,0.1029,Gefitinib,0.1912,0.882,0.294
CHEMBL728,PROCHLORPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,373.95,ChEMBL,0.1406,Gefitinib,0.2062,0.7751,0.2937
CHEMBL621,TRAZODONE,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,371.87,ChEMBL,0.1439,Gefitinib,0.2451,0.6904,0.2937
CHEMBL638,VORICONAZOLE,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,349.32,ChEMBL,0.1037,Gefitinib,0.2477,0.764,0.2934
CHEMBL595,PIOGLITAZONE,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,356.45,ChEMBL,0.1077,Afatinib,0.2118,0.8253,0.2929
CHEMBL511,PYRILAMINE,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,285.39,ChEMBL,0.1364,Osimertinib,0.2046,0.7818,0.2928
CHEMBL597,PHENTOLAMINE,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,281.36,ChEMBL,0.0922,Osimertinib,0.1869,0.9057,0.2928
CHEMBL502,DONEPEZIL,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,379.5,ChEMBL,0.1462,Gefitinib,0.2085,0.7475,0.2914
CHEMBL5,NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,232.24,ChEMBL,0.1231,Osimertinib,0.1805,0.8495,0.2913
CHEMBL490,PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,329.37,ChEMBL,0.0791,Gefitinib,0.1816,0.9339,0.2911
CHEMBL506,PRIMAQUINE,COc1cc(NC(C)CCCN)c2ncccc2c1,259.35,ChEMBL,0.113,Erlotinib,0.1952,0.8371,0.2907
CHEMBL61,PODOFILOX,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,414.41,ChEMBL,0.0855,Osimertinib,0.2592,0.7629,0.2905
CHEMBL594,EMEDASTINE,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,302.42,ChEMBL,0.1282,Erlotinib,0.2013,0.7931,0.2904
CHEMBL106,FLUCONAZOLE,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,306.28,ChEMBL,0.1026,Gefitinib,0.2473,0.7515,0.2903
CHEMBL509,MECLOFENAMIC ACID,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,296.15,ChEMBL,0.1304,Afatinib,0.1647,0.8594,0.2899
CHEMBL708,ZIPRASIDONE,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,412.95,ChEMBL,0.1172,Gefitinib,0.2531,0.7075,0.2896
